,est_time,away_team,home_team
66,2018-10-26 18:00:00+00:00,CHICAGO_BULLS,CHARLOTTE_HORNETS
67,2018-10-26 18:30:00+00:00,GOLDEN_STATE_WARRIORS,NEW_YORK_KNICKS
68,2018-10-26 18:30:00+00:00,DALLAS_MAVERICKS,TORONTO_RAPTORS
69,2018-10-26 19:00:00+00:00,LOS_ANGELES_CLIPPERS,HOUSTON_ROCKETS
70,2018-10-26 19:00:00+00:00,MILWAUKEE_BUCKS,MINNESOTA_TIMBERWOLVES
71,2018-10-26 19:00:00+00:00,BROOKLYN_NETS,NEW_ORLEANS_PELICANS
72,2018-10-26 21:00:00+00:00,WASHINGTON_WIZARDS,SACRAMENTO_KINGS
73,2018-10-27 18:00:00+00:00,BOSTON_CELTICS,DETROIT_PISTONS
74,2018-10-27 18:00:00+00:00,UTAH_JAZZ,NEW_ORLEANS_PELICANS
75,2018-10-27 18:30:00+00:00,CHICAGO_BULLS,ATLANTA_HAWKS
76,2018-10-27 18:30:00+00:00,INDIANA_PACERS,CLEVELAND_CAVALIERS
77,2018-10-27 18:30:00+00:00,CHARLOTTE_HORNETS,PHILADELPHIA_76ERS
78,2018-10-27 19:00:00+00:00,PHOENIX_SUNS,MEMPHIS_GRIZZLIES
79,2018-10-27 19:00:00+00:00,PORTLAND_TRAIL_BLAZERS,MIAMI_HEAT
80,2018-10-27 19:30:00+00:00,ORLANDO_MAGIC,MILWAUKEE_BUCKS
81,2018-10-27 19:30:00+00:00,LOS_ANGELES_LAKERS,SAN_ANTONIO_SPURS
82,2018-10-28 16:00:00+00:00,GOLDEN_STATE_WARRIORS,BROOKLYN_NETS
83,2018-10-28 18:00:00+00:00,UTAH_JAZZ,DALLAS_MAVERICKS
84,2018-10-28 18:00:00+00:00,PHOENIX_SUNS,OKLAHOMA_CITY_THUNDER
85,2018-10-28 20:30:00+00:00,WASHINGTON_WIZARDS,LOS_ANGELES_CLIPPERS
86,2018-10-29 18:00:00+00:00,PORTLAND_TRAIL_BLAZERS,INDIANA_PACERS
87,2018-10-29 18:00:00+00:00,ATLANTA_HAWKS,PHILADELPHIA_76ERS
88,2018-10-29 18:30:00+00:00,SACRAMENTO_KINGS,MIAMI_HEAT
89,2018-10-29 18:30:00+00:00,BROOKLYN_NETS,NEW_YORK_KNICKS
90,2018-10-29 19:00:00+00:00,GOLDEN_STATE_WARRIORS,CHICAGO_BULLS
91,2018-10-29 19:00:00+00:00,TORONTO_RAPTORS,MILWAUKEE_BUCKS
92,2018-10-29 19:00:00+00:00,LOS_ANGELES_LAKERS,MINNESOTA_TIMBERWOLVES
93,2018-10-29 19:30:00+00:00,DALLAS_MAVERICKS,SAN_ANTONIO_SPURS
94,2018-10-29 20:00:00+00:00,NEW_ORLEANS_PELICANS,DENVER_NUGGETS
95,2018-10-30 18:00:00+00:00,MIAMI_HEAT,CHARLOTTE_HORNETS
96,2018-10-30 18:00:00+00:00,ATLANTA_HAWKS,CLEVELAND_CAVALIERS
97,2018-10-30 18:00:00+00:00,SACRAMENTO_KINGS,ORLANDO_MAGIC
98,2018-10-30 18:30:00+00:00,DETROIT_PISTONS,BOSTON_CELTICS
99,2018-10-30 18:30:00+00:00,PHILADELPHIA_76ERS,TORONTO_RAPTORS
100,2018-10-30 19:00:00+00:00,PORTLAND_TRAIL_BLAZERS,HOUSTON_ROCKETS
101,2018-10-30 19:00:00+00:00,WASHINGTON_WIZARDS,MEMPHIS_GRIZZLIES
102,2018-10-30 19:00:00+00:00,LOS_ANGELES_CLIPPERS,OKLAHOMA_CITY_THUNDER
103,2018-10-31 18:30:00+00:00,DETROIT_PISTONS,BROOKLYN_NETS
104,2018-10-31 19:00:00+00:00,DENVER_NUGGETS,CHICAGO_BULLS
105,2018-10-31 19:00:00+00:00,UTAH_JAZZ,MINNESOTA_TIMBERWOLVES
106,2018-10-31 19:00:00+00:00,INDIANA_PACERS,NEW_YORK_KNICKS
107,2018-10-31 21:30:00+00:00,NEW_ORLEANS_PELICANS,GOLDEN_STATE_WARRIORS
108,2018-10-31 21:30:00+00:00,DALLAS_MAVERICKS,LOS_ANGELES_LAKERS
109,2018-10-31 21:30:00+00:00,SAN_ANTONIO_SPURS,PHOENIX_SUNS
110,2018-11-01 18:00:00+00:00,OKLAHOMA_CITY_THUNDER,CHARLOTTE_HORNETS
111,2018-11-01 18:00:00+00:00,DENVER_NUGGETS,CLEVELAND_CAVALIERS
112,2018-11-01 18:00:00+00:00,LOS_ANGELES_CLIPPERS,PHILADELPHIA_76ERS
113,2018-11-01 18:30:00+00:00,SACRAMENTO_KINGS,ATLANTA_HAWKS
114,2018-11-01 19:00:00+00:00,MILWAUKEE_BUCKS,BOSTON_CELTICS
115,2018-11-01 21:30:00+00:00,NEW_ORLEANS_PELICANS,PORTLAND_TRAIL_BLAZERS
116,2018-11-02 18:00:00+00:00,LOS_ANGELES_CLIPPERS,ORLANDO_MAGIC
117,2018-11-02 18:30:00+00:00,HOUSTON_ROCKETS,BROOKLYN_NETS
118,2018-11-02 19:00:00+00:00,INDIANA_PACERS,CHICAGO_BULLS
119,2018-11-02 19:00:00+00:00,OKLAHOMA_CITY_THUNDER,WASHINGTON_WIZARDS
120,2018-11-02 19:30:00+00:00,NEW_YORK_KNICKS,DALLAS_MAVERICKS
121,2018-11-02 20:00:00+00:00,MEMPHIS_GRIZZLIES,UTAH_JAZZ
122,2018-11-02 21:00:00+00:00,TORONTO_RAPTORS,PHOENIX_SUNS
