,slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,fan_ppg
193,hartjo01,Josh Hart,SHOOTING_GUARD,23,LOS_ANGELES_LAKERS,67,22,1715,189,464,92,274,55,80,35,213,93,64,40,58,147,525,16.598507462686566
194,willike04,Kenrich Williams,SMALL_FORWARD,24,NEW_ORLEANS_PELICANS,46,29,1079,107,279,52,156,13,19,55,164,83,45,19,36,95,279,16.48478260869565
195,parketo01,Tony Parker,POINT_GUARD,36,CHARLOTTE_HORNETS,56,0,1003,213,463,13,51,91,124,14,69,207,21,7,75,53,530,16.448214285714286
196,connapa01,Pat Connaughton,SHOOTING_GUARD,26,MILWAUKEE_BUCKS,61,2,1261,163,350,66,200,29,40,61,197,122,33,25,33,81,421,16.337704918032784
197,klebima01,Maxi Kleber,POWER_FORWARD,27,DALLAS_MAVERICKS,71,18,1502,175,386,77,218,58,74,90,239,70,36,78,54,143,485,16.32112676056338
198,johnsja01,James Johnson,POWER_FORWARD,31,MIAMI_HEAT,55,33,1164,164,379,50,149,50,70,22,154,135,35,27,74,114,428,16.212727272727275
199,belinma01,Marco Belinelli,SHOOTING_GUARD,32,SAN_ANTONIO_SPURS,79,1,1815,285,690,147,395,112,124,16,182,132,35,8,72,121,829,16.184810126582278
200,kennalu01,Luke Kennard,SHOOTING_GUARD,22,DETROIT_PISTONS,63,10,1437,228,520,106,269,51,61,12,171,114,26,10,57,92,613,16.168253968253968
201,macksh01,Shelvin Mack,POINT_GUARD,28,MEMPHIS_GRIZZLIES,53,3,1204,161,389,46,128,53,75,18,84,182,45,4,62,81,421,16.08301886792453
202,bridgmi02,Miles Bridges,SMALL_FORWARD,20,CHARLOTTE_HORNETS,80,25,1696,237,511,65,200,58,77,67,256,95,55,49,50,111,597,16.06375
203,crabbal01,Allen Crabbe,SHOOTING_GUARD,26,BROOKLYN_NETS,43,20,1133,137,373,98,259,41,56,16,132,46,23,13,46,102,413,15.944186046511629
204,arcidry01,Ryan Arcidiacono,POINT_GUARD,24,CHICAGO_BULLS,81,32,1961,187,418,81,217,89,102,27,192,269,65,4,63,171,544,15.867901234567901
205,zizican01,Ante Žižić,CENTER,22,CLEVELAND_CAVALIERS,59,25,1082,183,331,0,0,93,132,108,212,53,13,22,61,113,459,15.788135593220339
206,lylestr01,Trey Lyles,POWER_FORWARD,23,DENVER_NUGGETS,64,2,1120,207,495,51,200,81,116,44,202,87,30,23,68,93,546,15.7765625
207,poeltja01,Jakob Pöltl,CENTER,23,SAN_ANTONIO_SPURS,77,24,1273,187,290,0,0,49,92,178,232,93,29,68,48,124,423,15.590909090909092
208,riverau01,Austin Rivers,SHOOTING_GUARD,26,HOUSTON_ROCKETS,47,13,1345,156,378,71,221,25,49,15,76,109,29,13,32,135,408,15.589361702127661
209,mccontj01,T.J. McConnell,POINT_GUARD,26,PHILADELPHIA_76ERS,76,3,1470,220,419,14,42,29,37,28,146,258,79,17,91,105,483,15.523684210526316
210,muscami01,Mike Muscala,POWER_FORWARD,27,PHILADELPHIA_76ERS,47,6,1041,109,278,68,199,63,77,51,149,62,18,27,43,112,349,15.51063829787234
211,okogijo01,Josh Okogie,SHOOTING_GUARD,20,MINNESOTA_TIMBERWOLVES,74,52,1757,196,508,60,215,118,162,41,177,91,88,33,63,166,570,15.50135135135135
212,harrish01,Shaquille Harrison,SHOOTING_GUARD,25,CHICAGO_BULLS,73,11,1430,184,426,24,89,82,123,33,189,139,89,30,60,124,474,15.436986301369863
213,bertada01,Dāvis Bertāns,POWER_FORWARD,26,SAN_ANTONIO_SPURS,76,12,1632,204,453,145,338,53,60,23,241,100,35,33,43,133,606,15.339473684210526
214,kurucro01,Rodions Kurucs,SMALL_FORWARD,20,BROOKLYN_NETS,63,46,1294,202,449,58,184,72,92,56,190,52,41,25,77,146,534,15.273015873015874
215,mcgruro01,Rodney McGruder,SHOOTING_GUARD,27,MIAMI_HEAT,66,45,1550,186,461,79,225,52,72,60,178,112,36,12,64,115,503,14.978787878787877
216,jonesde02,Derrick Jones,SMALL_FORWARD,21,MIAMI_HEAT,60,14,1153,160,324,28,91,74,122,96,144,37,46,42,43,123,422,14.975
217,bradlav01,Avery Bradley,SHOOTING_GUARD,28,LOS_ANGELES_CLIPPERS,49,49,1463,161,420,58,172,20,25,35,96,96,27,16,61,133,400,14.820408163265308
218,crawfja01,Jamal Crawford,SHOOTING_GUARD,38,PHOENIX_SUNS,64,0,1211,174,438,67,202,93,110,8,77,229,33,12,99,75,508,14.7578125
219,milleda01,Darius Miller,SMALL_FORWARD,28,NEW_ORLEANS_PELICANS,69,15,1757,189,484,133,364,56,71,14,114,146,40,23,59,165,567,14.588405797101448
220,colliza01,Zach Collins,CENTER,21,PORTLAND_TRAIL_BLAZERS,77,0,1356,189,400,40,121,94,126,109,215,71,25,66,77,174,512,14.445454545454545
221,noelne01,Nerlens Noel,CENTER,24,OKLAHOMA_CITY_THUNDER,77,2,1055,162,276,0,0,54,79,127,198,45,66,96,48,166,378,14.435064935064934
222,dienggo01,Gorgui Dieng,CENTER,29,MINNESOTA_TIMBERWOLVES,76,2,1031,189,377,19,56,88,106,81,230,72,48,41,57,134,485,14.305263157894737
223,powelno01,Norman Powell,SHOOTING_GUARD,25,TORONTO_RAPTORS,60,3,1126,193,400,68,170,62,75,16,123,91,39,13,65,96,516,14.305
224,kiddgmi01,Michael Kidd-Gilchrist,POWER_FORWARD,25,CHARLOTTE_HORNETS,64,3,1179,158,332,16,47,95,123,88,158,61,32,39,43,156,427,14.2609375
225,korveky01,Kyle Korver,SHOOTING_GUARD,37,UTAH_JAZZ,54,0,1083,166,407,113,294,47,57,9,124,64,22,10,42,84,492,14.251851851851852
226,stephla01,Lance Stephenson,SHOOTING_GUARD,28,LOS_ANGELES_LAKERS,68,3,1123,184,432,73,197,50,73,32,183,140,41,7,86,111,491,14.25
227,ilyaser01,Ersan İlyasova,POWER_FORWARD,31,MILWAUKEE_BUCKS,67,7,1231,167,381,58,160,61,74,94,208,52,32,20,48,172,453,14.170149253731344
228,monkma01,Malik Monk,SHOOTING_GUARD,20,CHARLOTTE_HORNETS,73,0,1258,227,586,109,330,90,102,16,121,117,37,19,86,106,653,13.957534246575344
229,greenge01,Gerald Green,SHOOTING_GUARD,33,HOUSTON_ROCKETS,73,0,1473,231,578,156,441,57,68,30,152,40,33,27,55,126,675,13.950684931506851
230,jerebjo01,Jonas Jerebko,POWER_FORWARD,31,GOLDEN_STATE_WARRIORS,73,6,1218,163,355,69,188,64,80,72,216,96,27,18,43,137,459,13.638356164383561
231,laymaja01,Jake Layman,SMALL_FORWARD,24,PORTLAND_TRAIL_BLAZERS,71,33,1327,216,424,59,181,50,71,56,161,53,31,30,46,116,541,13.477464788732394
232,cartevi01,Vince Carter,POWER_FORWARD,42,ATLANTA_HAWKS,76,9,1330,196,468,123,316,47,66,31,163,87,44,27,48,141,562,13.411842105263156
233,gallola01,Langston Galloway,SHOOTING_GUARD,27,DETROIT_PISTONS,80,4,1745,228,587,135,380,81,96,49,122,85,37,8,24,135,672,13.383750000000001
234,craigto01,Torrey Craig,SMALL_FORWARD,28,DENVER_NUGGETS,75,37,1503,160,362,61,188,49,70,89,174,72,37,46,44,175,430,13.008
235,jacksju01,Justin Jackson,SMALL_FORWARD,23,SACRAMENTO_KINGS,52,3,1083,125,295,55,159,41,50,25,121,68,23,13,22,67,346,12.946153846153846
236,anunoog01,OG Anunoby,SMALL_FORWARD,21,TORONTO_RAPTORS,67,6,1352,183,404,67,202,36,62,58,139,47,46,22,55,140,469,12.78955223880597
237,brownst02,Sterling Brown,SHOOTING_GUARD,23,MILWAUKEE_BUCKS,58,7,1034,145,312,53,147,29,42,29,155,84,25,8,46,88,372,12.737931034482758
238,onealro01,Royce O'Neale,SMALL_FORWARD,25,UTAH_JAZZ,82,16,1671,163,343,68,176,32,42,22,263,124,54,24,70,172,426,12.682926829268293
239,jacksfr01,Frank Jackson,POINT_GUARD,20,NEW_ORLEANS_PELICANS,61,16,1169,194,447,53,169,54,73,25,109,69,25,2,48,92,495,12.545901639344262
240,hernaju01,Juan Hernangómez,POWER_FORWARD,23,DENVER_NUGGETS,70,25,1358,138,314,66,181,66,86,64,201,55,27,24,37,94,408,12.478571428571428
241,shamela01,Landry Shamet,SHOOTING_GUARD,21,PHILADELPHIA_76ERS,54,4,1108,153,347,99,245,44,54,14,64,59,24,8,26,106,449,12.39074074074074
242,cookqu01,Quinn Cook,POINT_GUARD,25,GOLDEN_STATE_WARRIORS,74,10,1059,204,439,81,200,20,26,22,135,116,20,3,50,92,509,11.72162162162162
243,harride01,Devin Harris,POINT_GUARD,35,DALLAS_MAVERICKS,68,2,1071,132,347,62,200,102,134,12,100,122,35,16,56,133,428,11.638235294117647
