,slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,fan_ppg
54,murraja01,Jamal Murray,POINT_GUARD,21,DENVER_NUGGETS,75,74,2447,513,1173,152,414,189,223,65,252,363,67,27,158,153,1367,30.95866666666667
55,hieldbu01,Buddy Hield,SHOOTING_GUARD,26,SACRAMENTO_KINGS,82,82,2615,623,1360,278,651,171,193,106,306,205,58,33,146,202,1695,30.889024390243904
56,whiteha01,Hassan Whiteside,CENTER,29,MIAMI_HEAT,72,53,1674,388,680,2,16,109,243,257,560,56,46,136,97,192,887,30.811111111111114
57,adamsst01,Steven Adams,CENTER,25,OKLAHOMA_CITY_THUNDER,80,80,2669,481,809,0,2,146,292,391,369,124,117,76,135,204,1108,30.7125
58,horfoal01,Al Horford,CENTER,32,BOSTON_CELTICS,68,68,1973,387,723,73,203,78,95,120,338,283,59,86,102,126,925,30.69264705882353
59,harremo01,Montrezl Harrell,CENTER,25,LOS_ANGELES_CLIPPERS,82,5,2158,546,888,3,17,266,414,184,351,162,71,110,132,255,1361,30.195121951219512
60,turnemy01,Myles Turner,CENTER,22,INDIANA_PACERS,74,74,2119,380,780,76,196,148,201,101,430,115,60,199,100,195,984,29.887837837837836
61,sabondo01,Domantas Sabonis,CENTER,22,INDIANA_PACERS,74,5,1838,413,700,9,17,208,291,186,504,212,48,30,160,239,1043,29.527027027027028
62,kanteen01,Enes Kanter,CENTER,26,NEW_YORK_KNICKS,44,23,1128,251,468,7,22,105,129,171,290,84,18,17,79,106,614,29.186363636363634
63,kuzmaky01,Kyle Kuzma,POWER_FORWARD,23,LOS_ANGELES_LAKERS,70,68,2314,496,1087,128,422,188,250,60,322,178,41,26,133,170,1308,29.062857142857144
64,wiggian01,Andrew Wiggins,SMALL_FORWARD,23,MINNESOTA_TIMBERWOLVES,73,73,2543,498,1209,118,348,207,296,83,269,184,70,48,138,153,1321,29.005479452054796
65,greendr01,Draymond Green,POWER_FORWARD,28,GOLDEN_STATE_WARRIORS,66,66,2065,188,422,47,165,63,91,60,421,454,95,70,169,197,486,28.866666666666664
66,ibakase01,Serge Ibaka,CENTER,29,TORONTO_RAPTORS,74,51,2010,464,877,49,169,135,177,156,445,99,29,103,114,211,1112,28.806756756756755
67,ingrabr01,Brandon Ingram,SMALL_FORWARD,21,LOS_ANGELES_LAKERS,52,52,1760,362,729,31,94,195,289,41,226,154,28,31,129,149,950,28.661538461538463
68,paytoel01,Elfrid Payton,POINT_GUARD,24,NEW_ORLEANS_PELICANS,42,42,1250,179,412,33,105,55,74,49,171,320,44,17,112,81,446,28.571428571428573
69,richajo01,Josh Richardson,SHOOTING_GUARD,25,MIAMI_HEAT,73,73,2539,423,1026,164,460,199,231,54,209,298,79,34,113,200,1209,28.556164383561644
70,tatumja01,Jayson Tatum,SMALL_FORWARD,20,BOSTON_CELTICS,79,79,2455,466,1036,116,311,195,228,70,407,168,84,57,122,168,1243,28.194936708860762
71,caulewi01,Willie Cauley-Stein,CENTER,25,SACRAMENTO_KINGS,81,81,2213,412,741,1,2,140,254,181,497,194,96,51,84,227,965,28.14320987654321
72,oubreke01,Kelly Oubre,SMALL_FORWARD,23,PHOENIX_SUNS,40,12,1180,243,537,67,206,121,159,47,149,64,57,39,73,110,674,28.105
73,teaguje01,Jeff Teague,POINT_GUARD,30,MINNESOTA_TIMBERWOLVES,42,41,1264,176,416,35,105,123,153,16,90,343,43,18,97,90,510,28.01666666666667
74,rosede01,Derrick Rose,POINT_GUARD,30,MINNESOTA_TIMBERWOLVES,51,13,1392,363,753,54,146,137,160,33,107,220,31,12,82,57,917,27.823529411764707
75,arizatr01,Trevor Ariza,SMALL_FORWARD,33,WASHINGTON_WIZARDS,43,43,1465,208,509,95,295,94,121,34,192,165,53,13,67,86,605,27.644186046511628
76,hardati02,Tim Hardaway,SHOOTING_GUARD,26,NEW_YORK_KNICKS,46,46,1499,282,726,117,337,199,233,26,135,122,42,6,81,106,880,27.63478260869565
77,warretj01,T.J. Warren,SMALL_FORWARD,25,PHOENIX_SUNS,43,36,1360,297,611,77,180,101,124,31,143,64,51,29,52,119,772,27.55348837209302
78,rondora01,Rajon Rondo,POINT_GUARD,32,LOS_ANGELES_LAKERS,46,29,1369,175,432,51,142,23,36,34,209,367,57,7,127,100,424,27.54565217391304
79,lambje01,Jeremy Lamb,SHOOTING_GUARD,26,CHARLOTTE_HORNETS,79,55,2250,431,979,115,330,231,260,65,369,172,88,32,80,140,1208,27.1746835443038
80,baglema01,Marvin Bagley,POWER_FORWARD,19,SACRAMENTO_KINGS,62,4,1567,356,706,30,96,181,262,162,309,62,33,59,98,120,923,26.890322580645158
81,millspa01,Paul Millsap,POWER_FORWARD,33,DENVER_NUGGETS,70,65,1895,322,665,58,159,181,249,153,352,141,83,54,95,183,883,26.85
82,thomptr01,Tristan Thompson,CENTER,27,CLEVELAND_CAVALIERS,43,40,1198,201,380,0,0,68,106,173,265,86,28,16,59,89,470,26.827906976744185
83,dunnkr01,Kris Dunn,POINT_GUARD,24,CHICAGO_BULLS,46,44,1389,215,506,34,96,55,69,19,168,277,68,21,104,166,519,26.80217391304348
84,nancela02,Larry Nance,CENTER,26,CLEVELAND_CAVALIERS,67,30,1795,249,479,33,98,96,134,168,384,214,100,40,97,192,627,26.76716417910448
85,gayru01,Rudy Gay,POWER_FORWARD,32,SAN_ANTONIO_SPURS,69,51,1842,376,746,74,184,120,147,63,407,182,54,34,114,159,946,26.73913043478261
86,youngth01,Thaddeus Young,POWER_FORWARD,30,INDIANA_PACERS,81,81,2489,443,841,51,146,87,135,192,331,204,123,36,123,194,1024,26.575308641975308
87,rubiori01,Ricky Rubio,POINT_GUARD,28,UTAH_JAZZ,68,67,1899,295,730,79,254,195,228,33,210,416,91,10,180,180,864,26.49411764705882
88,wadedw01,Dwyane Wade,SHOOTING_GUARD,37,MIAMI_HEAT,72,2,1885,416,960,86,261,165,233,69,216,301,59,38,166,118,1083,26.45138888888889
89,brogdma01,Malcolm Brogdon,SHOOTING_GUARD,26,MILWAUKEE_BUCKS,64,64,1832,378,748,104,244,141,152,65,223,205,46,13,91,102,1001,26.2671875
90,inglejo01,Joe Ingles,POWER_FORWARD,31,UTAH_JAZZ,82,82,2568,359,802,189,483,87,123,35,295,469,98,20,193,180,994,26.054878048780488
91,winslju01,Justise Winslow,SMALL_FORWARD,22,MIAMI_HEAT,66,52,1959,324,749,96,256,86,137,63,292,282,72,19,142,177,830,26.045454545454547
92,dinwisp01,Spencer Dinwiddie,POINT_GUARD,25,BROOKLYN_NETS,68,4,1914,366,828,124,370,287,356,26,140,311,40,17,152,187,1143,26.03970588235294
93,balllo01,Lonzo Ball,POINT_GUARD,21,LOS_ANGELES_LAKERS,47,45,1423,185,456,75,228,20,48,54,197,255,69,19,103,114,465,25.993617021276595
94,bogdabo02,Bojan Bogdanović,SMALL_FORWARD,29,INDIANA_PACERS,81,81,2573,522,1051,164,386,246,305,33,300,161,69,1,134,138,1454,25.939506172839504
95,allenja01,Jarrett Allen,CENTER,20,BROOKLYN_NETS,80,80,2096,335,568,6,45,197,278,191,481,110,43,120,103,184,873,25.8425
96,mcgeeja01,JaVale McGee,CENTER,31,LOS_ANGELES_LAKERS,75,62,1671,400,641,1,12,96,152,195,371,52,47,148,108,208,897,25.816
97,schrode01,Dennis Schröder,POINT_GUARD,25,OKLAHOMA_CITY_THUNDER,79,14,2314,457,1104,124,364,186,227,38,246,323,65,12,172,189,1224,25.712658227848102
98,favorde01,Derrick Favors,CENTER,27,UTAH_JAZZ,76,70,1766,363,619,17,78,154,228,207,353,89,56,106,84,163,897,25.55921052631579
99,porteot01,Otto Porter,SMALL_FORWARD,25,WASHINGTON_WIZARDS,41,28,1191,202,442,65,176,49,64,40,191,80,64,22,40,79,518,25.541463414634148
100,collida01,Darren Collison,POINT_GUARD,31,INDIANA_PACERS,76,76,2143,308,659,79,194,158,190,36,196,459,110,9,125,138,853,25.432894736842105
101,leverca01,Caris LeVert,SMALL_FORWARD,24,BROOKLYN_NETS,40,25,1063,207,483,48,154,85,123,35,116,156,42,14,69,77,547,25.130000000000003
102,barneha02,Harrison Barnes,POWER_FORWARD,26,DALLAS_MAVERICKS,49,49,1584,290,717,121,311,165,198,36,171,62,33,11,68,79,866,25.048979591836737
103,redicjj01,J.J. Redick,SHOOTING_GUARD,34,PHILADELPHIA_76ERS,76,63,2379,452,1027,240,605,228,255,20,166,206,32,17,101,129,1372,25.01578947368421
104,dedmode01,Dewayne Dedmon,CENTER,29,ATLANTA_HAWKS,64,52,1609,259,526,83,217,92,113,105,375,90,69,71,84,214,693,25.0
105,bogdabo01,Bogdan Bogdanović,SHOOTING_GUARD,26,SACRAMENTO_KINGS,70,17,1947,361,863,134,372,134,162,40,203,267,72,15,117,142,990,24.844285714285714
106,lopezbr01,Brook Lopez,CENTER,30,MILWAUKEE_BUCKS,81,81,2322,355,786,187,512,112,133,33,363,98,51,179,82,189,1009,24.804938271604936
107,parkeja01,Jabari Parker,POWER_FORWARD,23,CHICAGO_BULLS,39,17,1042,220,464,37,114,79,108,41,200,84,23,14,84,87,556,24.646153846153847
108,jacksre01,Reggie Jackson,POINT_GUARD,28,DETROIT_PISTONS,82,82,2289,441,1047,174,471,204,236,45,171,344,55,9,148,208,1260,24.57560975609756
109,fournev01,Evan Fournier,SHOOTING_GUARD,26,ORLANDO_MAGIC,81,81,2553,468,1069,153,450,137,170,38,220,295,71,12,154,225,1226,24.569135802469134
110,grantje01,Jerami Grant,POWER_FORWARD,24,OKLAHOMA_CITY_THUNDER,80,77,2612,409,823,115,293,157,221,96,321,79,61,100,67,214,1090,24.548750000000002
111,clarkjo01,Jordan Clarkson,SHOOTING_GUARD,26,CLEVELAND_CAVALIERS,81,0,2214,529,1180,144,445,162,192,82,188,196,57,13,135,112,1364,24.530864197530864
112,mudiaem01,Emmanuel Mudiay,POINT_GUARD,22,NEW_YORK_KNICKS,59,42,1607,330,740,69,210,144,186,33,163,228,43,19,140,103,873,24.308474576271188
113,morrima03,Marcus Morris,POWER_FORWARD,29,BOSTON_CELTICS,75,53,2091,377,844,146,389,146,173,76,382,109,43,25,92,181,1046,24.04133333333333
114,jacksja02,Jaren Jackson,POWER_FORWARD,19,MEMPHIS_GRIZZLIES,58,56,1515,298,589,51,142,151,197,73,199,64,52,82,98,220,798,23.97241379310345
115,cartewe01,Wendell Carter,CENTER,19,CHICAGO_BULLS,44,44,1110,180,371,6,32,89,112,87,220,78,26,58,65,152,455,23.713636363636365
116,sextoco01,Collin Sexton,POINT_GUARD,20,CLEVELAND_CAVALIERS,82,72,2605,519,1206,119,296,214,255,57,179,243,44,6,185,186,1371,23.581707317073167
117,zelleco01,Cody Zeller,CENTER,26,CHARLOTTE_HORNETS,49,47,1243,190,345,6,22,111,141,110,223,102,38,41,62,164,497,23.379591836734694
118,rosste01,Terrence Ross,SHOOTING_GUARD,27,ORLANDO_MAGIC,81,0,2150,440,1027,217,566,126,144,27,253,135,72,29,90,119,1223,23.12962962962963
119,osmande01,Cedi Osman,SMALL_FORWARD,23,CLEVELAND_CAVALIERS,76,75,2444,360,844,130,374,141,181,45,312,195,60,11,114,195,991,22.89342105263158
120,adebaba01,Bam Adebayo,CENTER,21,MIAMI_HEAT,82,28,1913,280,486,3,15,166,226,165,432,184,71,65,121,203,729,22.834146341463416
121,haywago01,Gordon Hayward,POWER_FORWARD,28,BOSTON_CELTICS,72,18,1863,296,635,77,231,156,187,51,271,244,62,23,105,104,825,22.811111111111114
122,vanvlfr01,Fred VanVleet,POINT_GUARD,24,TORONTO_RAPTORS,64,28,1760,246,600,112,296,97,115,21,146,307,57,20,82,110,701,22.4046875
123,augusdj01,D.J. Augustin,POINT_GUARD,31,ORLANDO_MAGIC,81,81,2269,318,677,131,311,181,209,41,162,426,52,4,128,115,948,22.40246913580247
124,anderky01,Kyle Anderson,SMALL_FORWARD,25,MEMPHIS_GRIZZLIES,43,40,1281,150,276,9,34,37,64,48,203,128,54,37,58,112,346,22.400000000000002
125,gordoer01,Eric Gordon,SHOOTING_GUARD,30,HOUSTON_ROCKETS,68,53,2158,384,938,216,600,119,152,17,131,129,41,27,90,143,1103,22.35441176470588
126,whitede01,Derrick White,POINT_GUARD,24,SAN_ANTONIO_SPURS,67,55,1728,260,543,48,142,95,123,35,212,263,67,47,97,145,663,22.16268656716418
127,vonleno01,Noah Vonleh,POWER_FORWARD,23,NEW_YORK_KNICKS,68,57,1722,207,440,46,137,111,156,113,415,129,46,51,88,174,571,22.11911764705882
128,gibsota01,Taj Gibson,POWER_FORWARD,33,MINNESOTA_TIMBERWOLVES,70,57,1686,304,537,11,34,134,177,172,286,84,53,39,73,186,753,21.994285714285713
129,batumni01,Nicolas Batum,SMALL_FORWARD,30,CHARLOTTE_HORNETS,75,72,2354,253,562,116,298,77,89,71,319,247,71,43,117,140,699,21.98
130,aminual01,Al-Farouq Aminu,POWER_FORWARD,28,PORTLAND_TRAIL_BLAZERS,81,81,2292,257,593,96,280,150,173,112,498,104,68,33,72,143,760,21.950617283950617
131,princta02,Taurean Waller-Prince,SMALL_FORWARD,24,ATLANTA_HAWKS,55,47,1552,262,594,123,315,95,116,22,177,118,53,19,100,141,742,21.85090909090909
132,bazemke01,Kent Bazemore,SHOOTING_GUARD,29,ATLANTA_HAWKS,67,35,1643,278,691,96,300,127,175,37,224,152,89,42,121,170,779,21.8089552238806
133,plumlma01,Mason Plumlee,CENTER,28,DENVER_NUGGETS,82,17,1731,262,442,2,10,111,198,165,359,243,66,76,126,252,637,21.808536585365854
134,robinmi01,Mitchell Robinson,CENTER,20,NEW_YORK_KNICKS,66,19,1360,202,291,0,0,81,135,177,246,37,52,161,35,217,485,21.804545454545455
135,bryanth01,Thomas Bryant,CENTER,21,WASHINGTON_WIZARDS,72,53,1496,309,502,33,99,107,137,113,341,92,25,67,60,126,758,21.733333333333334
136,harrijo01,Joe Harris,SHOOTING_GUARD,27,BROOKLYN_NETS,76,76,2293,374,748,183,386,110,133,52,239,181,38,17,121,182,1041,21.719736842105263
137,bartowi01,Will Barton,SMALL_FORWARD,28,DENVER_NUGGETS,43,38,1189,185,460,67,196,57,74,32,167,124,18,22,65,82,494,21.71627906976744
138,brownja02,Jaylen Brown,SHOOTING_GUARD,22,BOSTON_CELTICS,74,25,1913,368,792,95,276,133,202,65,248,100,69,32,99,186,964,21.52162162162162
139,crowdja01,Jae Crowder,SMALL_FORWARD,28,UTAH_JAZZ,80,11,2166,318,797,173,522,142,197,60,324,133,64,31,85,170,951,21.45375
140,satorto01,Tomáš Satoranský,POINT_GUARD,27,WASHINGTON_WIZARDS,80,54,2164,257,530,64,162,131,160,82,197,399,82,13,120,172,709,21.40375
141,jacksjo02,Josh Jackson,SHOOTING_GUARD,21,PHOENIX_SUNS,79,29,1988,347,841,73,225,143,213,66,281,183,74,56,173,209,910,21.365822784810128
142,willima02,Marvin Williams,POWER_FORWARD,32,CHARLOTTE_HORNETS,75,75,2133,275,652,140,382,66,86,76,331,92,71,61,47,156,756,21.325333333333333
143,bjeline01,Nemanja Bjelica,POWER_FORWARD,30,SACRAMENTO_KINGS,77,70,1788,284,593,103,257,70,92,125,319,147,54,56,82,197,741,21.198701298701298
144,smartma01,Marcus Smart,SHOOTING_GUARD,24,BOSTON_CELTICS,80,60,2200,239,567,126,346,104,129,57,177,321,143,28,123,201,708,21.11625
145,beverpa01,Patrick Beverley,POINT_GUARD,30,LOS_ANGELES_CLIPPERS,78,49,2137,194,477,112,282,96,123,76,312,300,67,43,85,265,596,21.110256410256408
146,harriga01,Gary Harris,SHOOTING_GUARD,24,DENVER_NUGGETS,57,48,1639,270,637,82,242,115,144,41,119,127,55,19,68,113,737,21.04385964912281
147,isaacjo01,Jonathan Isaac,POWER_FORWARD,21,ORLANDO_MAGIC,75,64,1996,262,611,86,266,110,135,99,312,80,59,98,75,143,720,20.962666666666667
148,gilgesh01,Shai Gilgeous-Alexander,POINT_GUARD,20,LOS_ANGELES_CLIPPERS,82,73,2174,341,716,51,139,156,195,57,175,270,96,45,141,175,889,20.89512195121951
149,poweldw01,Dwight Powell,CENTER,27,DALLAS_MAVERICKS,77,22,1662,290,486,39,127,196,254,140,271,112,44,50,67,201,815,20.742857142857144
150,lenal01,Alex Len,CENTER,25,ATLANTA_HAWKS,77,31,1544,320,648,74,204,140,216,158,266,86,27,69,97,200,854,20.607792207792208
151,greenje02,Jeff Green,POWER_FORWARD,32,WASHINGTON_WIZARDS,77,44,2097,326,687,111,320,183,206,57,252,137,43,39,101,160,946,20.588311688311688
152,knoxke01,Kevin Knox,POWER_FORWARD,19,NEW_YORK_KNICKS,75,57,2158,338,914,125,364,162,226,61,274,82,43,24,114,175,963,20.106666666666666
153,matthwe02,Wesley Matthews,SMALL_FORWARD,32,DALLAS_MAVERICKS,44,44,1312,194,469,100,263,87,110,20,82,100,33,12,58,102,575,19.986363636363635
154,morrimo01,Monte Morris,POINT_GUARD,23,DENVER_NUGGETS,82,6,1970,346,702,94,227,65,81,35,159,297,73,4,52,102,851,19.89390243902439
155,saricda01,Dario Šarić,POWER_FORWARD,24,MINNESOTA_TIMBERWOLVES,68,28,1627,256,564,97,253,105,120,105,266,101,41,6,72,143,714,19.598529411764705
156,greenda02,Danny Green,SHOOTING_GUARD,31,TORONTO_RAPTORS,80,80,2216,293,630,198,435,37,44,60,257,126,73,53,75,171,821,19.5925
157,waitedi01,Dion Waiters,SHOOTING_GUARD,27,MIAMI_HEAT,44,28,1138,198,478,109,289,22,44,7,109,121,29,9,64,72,527,19.538636363636364
