,start_time,away_team,home_team,est_time
48,2019-10-28 21:00:00+00:00,UTAH_JAZZ,PHOENIX_SUNS,2019-10-28 17:00:00-04:00
49,2019-10-28 21:00:00+00:00,DENVER_NUGGETS,SACRAMENTO_KINGS,2019-10-28 17:00:00-04:00
50,2019-10-28 21:30:00+00:00,CHARLOTTE_HORNETS,LOS_ANGELES_CLIPPERS,2019-10-28 17:30:00-04:00
51,2019-10-29 18:30:00+00:00,ATLANTA_HAWKS,MIAMI_HEAT,2019-10-29 14:30:00-04:00
52,2019-10-29 20:00:00+00:00,DALLAS_MAVERICKS,DENVER_NUGGETS,2019-10-29 16:00:00-04:00
53,2019-10-29 21:30:00+00:00,MEMPHIS_GRIZZLIES,LOS_ANGELES_LAKERS,2019-10-29 17:30:00-04:00
54,2019-10-30 18:00:00+00:00,CHICAGO_BULLS,CLEVELAND_CAVALIERS,2019-10-30 14:00:00-04:00
55,2019-10-30 18:00:00+00:00,NEW_YORK_KNICKS,ORLANDO_MAGIC,2019-10-30 14:00:00-04:00
56,2019-10-30 18:00:00+00:00,MINNESOTA_TIMBERWOLVES,PHILADELPHIA_76ERS,2019-10-30 14:00:00-04:00
57,2019-10-30 18:30:00+00:00,MILWAUKEE_BUCKS,BOSTON_CELTICS,2019-10-30 14:30:00-04:00
58,2019-10-30 18:30:00+00:00,INDIANA_PACERS,BROOKLYN_NETS,2019-10-30 14:30:00-04:00
59,2019-10-30 18:30:00+00:00,DETROIT_PISTONS,TORONTO_RAPTORS,2019-10-30 14:30:00-04:00
60,2019-10-30 19:00:00+00:00,PORTLAND_TRAIL_BLAZERS,OKLAHOMA_CITY_THUNDER,2019-10-30 15:00:00-04:00
61,2019-10-30 19:00:00+00:00,HOUSTON_ROCKETS,WASHINGTON_WIZARDS,2019-10-30 15:00:00-04:00
62,2019-10-30 21:00:00+00:00,CHARLOTTE_HORNETS,SACRAMENTO_KINGS,2019-10-30 17:00:00-04:00
63,2019-10-30 21:00:00+00:00,LOS_ANGELES_CLIPPERS,UTAH_JAZZ,2019-10-30 17:00:00-04:00
64,2019-10-30 21:30:00+00:00,PHOENIX_SUNS,GOLDEN_STATE_WARRIORS,2019-10-30 17:30:00-04:00
65,2019-10-31 18:00:00+00:00,MIAMI_HEAT,ATLANTA_HAWKS,2019-10-31 14:00:00-04:00
66,2019-10-31 20:30:00+00:00,DENVER_NUGGETS,NEW_ORLEANS_PELICANS,2019-10-31 16:30:00-04:00
67,2019-10-31 21:30:00+00:00,SAN_ANTONIO_SPURS,LOS_ANGELES_CLIPPERS,2019-10-31 17:30:00-04:00
68,2019-11-01 18:00:00+00:00,HOUSTON_ROCKETS,BROOKLYN_NETS,2019-11-01 14:00:00-04:00
69,2019-11-01 18:00:00+00:00,CLEVELAND_CAVALIERS,INDIANA_PACERS,2019-11-01 14:00:00-04:00
70,2019-11-01 18:00:00+00:00,MILWAUKEE_BUCKS,ORLANDO_MAGIC,2019-11-01 14:00:00-04:00
71,2019-11-01 18:30:00+00:00,NEW_YORK_KNICKS,BOSTON_CELTICS,2019-11-01 14:30:00-04:00
72,2019-11-01 19:00:00+00:00,DETROIT_PISTONS,CHICAGO_BULLS,2019-11-01 15:00:00-04:00
73,2019-11-01 20:30:00+00:00,LOS_ANGELES_LAKERS,DALLAS_MAVERICKS,2019-11-01 16:30:00-04:00
74,2019-11-01 21:00:00+00:00,UTAH_JAZZ,SACRAMENTO_KINGS,2019-11-01 17:00:00-04:00
75,2019-11-01 21:30:00+00:00,SAN_ANTONIO_SPURS,GOLDEN_STATE_WARRIORS,2019-11-01 17:30:00-04:00
76,2019-11-02 16:00:00+00:00,NEW_ORLEANS_PELICANS,OKLAHOMA_CITY_THUNDER,2019-11-02 12:00:00-04:00
77,2019-11-02 18:00:00+00:00,BROOKLYN_NETS,DETROIT_PISTONS,2019-11-02 14:00:00-04:00
78,2019-11-02 18:00:00+00:00,DENVER_NUGGETS,ORLANDO_MAGIC,2019-11-02 14:00:00-04:00
79,2019-11-02 19:00:00+00:00,PHOENIX_SUNS,MEMPHIS_GRIZZLIES,2019-11-02 15:00:00-04:00
